node_id,chart1_name,canonical_name,chart1_level,chart1_parent,chart1_parent_name,matched_chart2_name,legal_representative,established_date,registered_capital,actual_controller_share,subsidiary_level_label,company_status,match_status,node_status,review_flag,review_note
N029,协创数据技术（香港）有限公司,协创数据技术（香港）有限公司,3,N007,协创数据技术股份有限公司,协创数据技术（香港）有限公司,,2010-05-10,,20.3044%,三级子公司,仍注册,matched,enriched,,境外主体未见法人代表
N030,协芯片（上海）有限公司,协芯片（上海）有限公司,3,N007,协创数据技术股份有限公司,协创芯片（上海）有限公司,,,,,,,review_match,review_match,yes,fuzzy candidate 协芯片（上海）有限公司; gap 0.3411
N031,深圳市半飞科技有限公司,深圳市半飞科技有限公司,3,N007,协创数据技术股份有限公司,深圳市半飞科技有限公司,潘文俊,2026-02-10,1000万元,14.2131%,三级子公司,存续,matched,enriched,,
N032,蜂云视界（上海）数字传媒科技有限公司,蜂云视界（上海）数字传媒科技有限公司,3,N007,协创数据技术股份有限公司,蜂云视界（上海）数字传媒科技有限公司,熊宏,2025-07-24,1300万元,13.5369%,三级子公司,存续,matched,enriched,,
N033,协创星享科技（深圳）有限公司,协创星享科技（深圳）有限公司,3,N007,协创数据技术股份有限公司,协创星享科技（深圳）有限公司,潘文俊,2024-01-31,1000万元,11.1674%,三级子公司,存续,matched,enriched,,
N034,协创智算（福州）数据有限公司,协创智算（福州）数据有限公司,3,N007,协创数据技术股份有限公司,协创智算（福州）数据有限公司,潘文俊,2025-03-11,5000万元,11.1674%,三级子公司,存续,matched,enriched,,
N035,深圳市创享存智计算系统有限公司,深圳市创享存智计算系统有限公司,3,N007,协创数据技术股份有限公司,深圳市协创享存智能计算系统有限公司,,,,,,,review_match,review_match,yes,名称按图二清单提取; fuzzy candidate 深圳市创享存智计算系统有限公司; gap 0.3375
N036,宇讯置游科技有限公司,宇讯置游科技有限公司,3,N007,协创数据技术股份有限公司,宇讯云游科技有限公司,,,,,,,review_match,review_match,yes,境外主体名称按图二清单提取; fuzzy candidate 宇讯置游科技有限公司; gap 0.2333
N037,Senssoul North Inc.,Senssoul North Inc.,3,N007,协创数据技术股份有限公司,Semsotai North Inc.,,,,,,,review_match,review_match,yes,英文名称需人工复核; fuzzy candidate Senssoul North Inc.; gap 0.2647
N038,Sharetronic Inc.,Sharetronic Inc.,3,N007,协创数据技术股份有限公司,Sharetronic Inc.,,2024-05-17,, ,三级子公司,在业,matched,enriched,,英文名称需人工复核
N039,OOBOTITC INC,OOBOTITC INC,3,N007,协创数据技术股份有限公司,OOBOTIC INC,,,,,,,review_match,review_match,yes,英文名称需人工复核; fuzzy candidate OOBOTITC INC; gap 0.4724
N040,SHARETRONIC SDN. BHD.,SHARETRONIC SDN. BHD.,3,N007,协创数据技术股份有限公司,,,,,,,,chart1_only,chart1_only,yes,英文名称按图像辨识推定
N041,EVIC PHILIPPINES INC.,EVIC PHILIPPINES INC.,3,N007,协创数据技术股份有限公司,EWIC PHILIPPINES INC.,,,,,,,review_match,review_match,yes,fuzzy candidate EVIC PHILIPPINES INC.; gap 0.5356
